"ADDRESS","LATITUDE","LONGTITUDE","address"
"501 OLD CHOA CHU KANG ROAD PRISON STAFF TRAINING SCHOOL SINGAPORE 698928","1.37377263438623","103.721881548119","698928"
"253 CHOA CHU KANG AVENUE 1 UOB CHOA CHU KANG AVENUE 1 SINGAPORE 680253","1.37743963470097","103.744383225684","680253"
"475 CHOA CHU KANG AVENUE 3 OCBC SUNSHINE PLACE SINGAPORE 680475","1.37789727709418","103.739015486021","680475"
"1A MURAI FARMWAY MURAI LODGE II SINGAPORE 709154","1.38399518679903","103.694489298309","709154"
"410 CHOA CHU KANG AVENUE 3 SINGAPORE 680410","1.38062798768557","103.741520103731","680410"
"1B MURAI FARMWAY DBS MURAI LODGE I SINGAPORE 709155","1.38459258504679","103.694778772674","709155"
"10 NEO TIEW LANE 2 GALLOP KRANJI FARM RESORT SINGAPORE 718813","1.41927816224448","103.718425682733","718813"
"720 CLEMENTI WEST STREET 2 SINGAPORE 120720","1.30246408847832","103.763750972451","120720"
"502 WEST COAST DRIVE OCBC WEST COAST DRIVE - FAIRPRICE SINGAPORE 120502","1.31190696353507","103.759128011868","120502"
"154 WEST COAST ROAD OCBC WEST COAST PLAZA SINGAPORE 127371","1.30381811396596","103.766266410545","127371"
"61 TEBAN GARDENS ROAD OCBC TEBAN PLACE SINGAPORE 600061","1.32233280120193","103.738425250007","600061"
"37 TEBAN GARDENS ROAD OCBC TEBAN GARDENS ROAD - FAIRPRICE SINGAPORE 600037","1.32052026841644","103.742651512921","600037"
"154 WEST COAST ROAD OCBC WEST COAST PLAZA SINGAPORE 127371","1.30381811396596","103.766266410545","127371"
"101 CLEMENTI ROAD DBS NUS KENT VALE SINGAPORE 129787","1.30176130472397","103.769369391763","129787"
