"ADDRESS","LATITUDE","LONGTITUDE","address","amenitiestype"
"11 JELAPANG ROAD GREENRIDGE PRIMARY SCHOOL SINGAPORE 677744",1.3858892193692,103.767794469258,"GREENRIDGE PRIMARY SCHOOL","school"
"32 BUKIT PANJANG RING ROAD GREENRIDGE SECONDARY SCHOOL SINGAPORE 679938",1.38186433722811,103.773828466913,"GREENRIDGE SECONDARY SCHOOL","school"
"11 WOODLANDS DRIVE 62 GREENWOOD PRIMARY SCHOOL SINGAPORE 737942",1.43989958331782,103.804725587384,"GREENWOOD PRIMARY SCHOOL","school"
"6 BISHAN STREET 12 GUANGYANG PRIMARY SCHOOL SINGAPORE 579806",1.34569011530238,103.849453239895,"GUANGYANG PRIMARY SCHOOL","school"
"8 BISHAN STREET 12 GUANGYANG SECONDARY SCHOOL SINGAPORE 579807",1.34440856042912,103.850208933626,"GUANGYANG SECONDARY SCHOOL","school"
"9 PASIR RIS DRIVE 6 HAI SING CATHOLIC SCHOOL SINGAPORE 519421",1.37434641160381,103.954957944437,"HAI SING CATHOLIC SCHOOL","school"
"51 KOON SENG ROAD HAIG GIRLS' SCHOOL SINGAPORE 427072",1.31194344271383,103.902902557195,"HAIG GIRLS' SCHOOL","school"
"1 HOLLAND GROVE ROAD HENRY PARK PRIMARY SCHOOL SINGAPORE 278790",1.31667646178347,103.784296227747,"HENRY PARK PRIMARY SCHOOL","school"
"10 BUKIT BATOK STREET 52 HILLGROVE SECONDARY SCHOOL SINGAPORE 659250",1.35273576615912,103.752986488399,"HILLGROVE SECONDARY SCHOOL","school"
"1191 UPPER SERANGOON ROAD HOLY INNOCENTS' HIGH SCHOOL SINGAPORE 534786",1.37154508822261,103.896398814264,"HOLY INNOCENTS' HIGH SCHOOL","school"
"5 LORONG LOW KOON HOLY INNOCENTS' PRIMARY SCHOOL SINGAPORE 536451",1.36693830877349,103.894114899795,"HOLY INNOCENTS' PRIMARY SCHOOL","school"
"30 TOWNER ROAD HONG WEN SCHOOL SINGAPORE 327829",1.32175999964553,103.857628468881,"HONG WEN SCHOOL","school"
"61 EDGEDALE PLAINS HORIZON PRIMARY SCHOOL SINGAPORE 828819",1.399550034492,103.913404855665,"HORIZON PRIMARY SCHOOL","school"
"1 HOUGANG STREET 93 HOUGANG PRIMARY SCHOOL SINGAPORE 534238",1.37738245231461,103.880805274557,"HOUGANG PRIMARY SCHOOL","school"
"2 HOUGANG STREET 93 HOUGANG SECONDARY SCHOOL SINGAPORE 534256",1.37764019332164,103.882533963338,"HOUGANG SECONDARY SCHOOL","school"
"60 JURONG WEST STREET 42 HUA YI SECONDARY SCHOOL SINGAPORE 649371",1.35234365488339,103.721832320169,"HUA YI SECONDARY SCHOOL","school"
"21 YISHUN AVENUE 11 HUAMIN PRIMARY SCHOOL SINGAPORE 768857",1.42697284512936,103.844240226564,"HUAMIN PRIMARY SCHOOL","school"
"661 BUKIT TIMAH ROAD HWA CHONG INSTITUTION SINGAPORE 269734",1.3249477928719,103.805704361472,"HWA CHONG INSTITUTION","school"
"80 WOODLANDS DRIVE 17 INNOVA PRIMARY SCHOOL SINGAPORE 737888",1.42896700684852,103.790607539185,"INNOVA PRIMARY SCHOOL","school"
"2 YISHUN STREET 71 JIEMIN PRIMARY SCHOOL SINGAPORE 768515",1.42768847665227,103.830425490093,"JIEMIN PRIMARY SCHOOL","school"
"5 ANG MO KIO STREET 52 JING SHAN PRIMARY SCHOOL SINGAPORE 569228",1.37223290983498,103.852132214306,"JING SHAN PRIMARY SCHOOL","school"
"2 TAMPINES STREET 91 JUNYUAN PRIMARY SCHOOL SINGAPORE 528906",1.34787054460119,103.939220722335,"JUNYUAN PRIMARY SCHOOL","school"
"11 TAMPINES STREET 84 JUNYUAN SECONDARY SCHOOL SINGAPORE 528933",1.35361315263537,103.933886165824,"JUNYUAN SECONDARY SCHOOL","school"
"21 TECK WHYE WALK JURONG PIONEER JUNIOR COLLEGE SINGAPORE 688258",1.38437406410733,103.75437461519,"JURONG PIONEER JUNIOR COLLEGE","school"
"320 JURONG EAST STREET 32 JURONG PRIMARY SCHOOL SINGAPORE 609476",1.34860020316068,103.733156560251,"JURONG PRIMARY SCHOOL","school"
"31 YUAN CHING ROAD JURONG SECONDARY SCHOOL SINGAPORE 618652",1.33002032220942,103.723952961648,"JURONG SECONDARY SCHOOL","school"
"30 JURONG WEST STREET 61 JURONG WEST PRIMARY SCHOOL SINGAPORE 648368",1.33917519796104,103.698803732244,"JURONG WEST PRIMARY SCHOOL","school"
"61 JURONG WEST STREET 65 JURONG WEST SECONDARY SCHOOL SINGAPORE 648348",1.33525634688323,103.702098904443,"JURONG WEST SECONDARY SCHOOL","school"
"202 JURONG EAST AVENUE 1 JURONGVILLE SECONDARY SCHOOL SINGAPORE 609790",1.35128862770284,103.728907710089,"JURONGVILLE SECONDARY SCHOOL","school"
"31 JURONG WEST STREET 91 JUYING PRIMARY SCHOOL SINGAPORE 649037",1.33902264667589,103.687769623983,"JUYING PRIMARY SCHOOL","school"
"33 JURONG WEST STREET 91 JUYING SECONDARY SCHOOL SINGAPORE 649038",1.3387227734133,103.687310264575,"JUYING SECONDARY SCHOOL","school"
"90 BUKIT BATOK EAST AVENUE 6 KEMING PRIMARY SCHOOL SINGAPORE 659762",1.34552849960874,103.756449399351,"KEMING PRIMARY SCHOOL","school"
"147 WEST COAST ROAD KENT RIDGE SECONDARY SCHOOL SINGAPORE 127368",1.30122773426098,103.764889617566,"KENT RIDGE SECONDARY SCHOOL","school"
"15 LORONG 3 TOA PAYOH KHENG CHENG SCHOOL SINGAPORE 319580",1.3373381935639,103.847148501824,"KHENG CHENG SCHOOL","school"
"350 GUILLEMARD ROAD KONG HWA SCHOOL SINGAPORE 399772",1.31099674009193,103.888352029067,"KONG HWA SCHOOL","school"
"11 CHOA CHU KANG STREET 54 KRANJI PRIMARY SCHOOL SINGAPORE 689189",1.39356050497104,103.747362720939,"KRANJI PRIMARY SCHOOL","school"
